agency_name,position,name,appointment_date,expiry_date,appointment_method
College of Dental Surgeons of Alberta,Public Member,"Pelton, Patricia",Oct 09 2024,Oct 08 2027,Order in Council
College of Dental Surgeons of Alberta,Public Member,"Henderson, Martin",Apr 30 2025,Apr 29 2028,Order in Council
College of Dental Technologists of Alberta - Council,Public Member,"Stahl, Brittany",Apr 07 2023,Apr 06 2026,Order in Council
College of Dental Technologists of Alberta - Council,Public Member,"Cooper, Douglas James Walter",Dec 05 2017,Oct 06 2020,Order in Council
College of Dental Technologists of Alberta - Council,Public Member,"Mardon, Catherine Ann",Apr 20 2022,Mar 20 2024,Order in Council
College of Dental Technologists of Alberta - Council,Public Member,"Lock, Gary",Apr 20 2022,Apr 19 2025,Order in Council
College of Dietitians of Alberta - Council,Public Member,"Amerongen, Cynthia",Jun 20 2024,Jun 19 2027,Order in Council
College of Dietitians of Alberta - Council,Public Member,"Hauch, Karl",Jun 25 2025,Jun 24 2028,Order in Council
College of Dietitians of Alberta - Council,Public Member,"Phung, Alex",Jun 15 2022,Jun 14 2025,Order in Council
College of Dietitians of Alberta - Council,Public Member,"Mosier, Louise",Oct 09 2024,Oct 08 2027,Order in Council
College of Hearing Aid Practitioners of Alberta - Council,Public Member,"Singh, Komal",Jun 20 2024,Jun 19 2027,Order in Council
College of Hearing Aid Practitioners of Alberta - Council,Public Member,"Dziwenka, Margitta",Jun 15 2022,Jun 14 2025,Order in Council
College of Hearing Aid Practitioners of Alberta - Council,Public Member,"Zhang, TJ",Oct 09 2024,Oct 08 2027,Order in Council
College of Hearing Aid Practitioners of Alberta - Council,Public Member,"Poirier, Paul",Jun 15 2022,Jun 14 2025,Order in Council
College of Hearing Aid Practitioners of Alberta - Council,Public Member,"Ingeveld, Gerald",Jun 29 2022,Jun 28 2025,Order in Council
College of Hearing Aid Practitioners of Alberta - Council,Public Member,"Noel, Karlana",Jun 29 2022,Jun 28 2025,Order in Council
College of Hearing Aid Practitioners of Alberta - Council,Public Member,"Peracha, Mohammad",Nov 07 2024,Nov 06 2027,Order in Council
College of Licensed Practical Nurses of Alberta - Council,Public Member,"Kent, Thomas",Jun 06 2024,Jun 05 2027,Order in Council
College of Licensed Practical Nurses of Alberta - Council,Public Member,"Osinchuk, Linda",May 09 2024,Mar 31 2027,Order in Council
College of Licensed Practical Nurses of Alberta - Council,Public Member,"Gaudette, J William",Sep 25 2024,Sep 24 2027,Order in Council
College of Licensed Practical Nurses of Alberta - Council,Public Member,"Pfeiffer, Irene",Oct 09 2024,Oct 08 2027,Order in Council
College of Licensed Practical Nurses of Alberta - Council,Public Member,"Welke, Dean",Apr 30 2025,May 29 2028,Order in Council
College of Medical Laboratory Technologists of Alberta - Council,Public Member,"Harding, Alissa",Oct 09 2024,Oct 08 2027,Order in Council
College of Medical Laboratory Technologists of Alberta - Council,Public Member,"Khan, Mohammad",Sep 25 2024,Sep 24 2027,Order in Council
College of Medical Laboratory Technologists of Alberta - Council,Public Member,"De La Cruz Chavez, Domingo",Apr 20 2022,Mar 20 2023,Order in Council
College of Medical Laboratory Technologists of Alberta - Council,Public Member,"Palechuk, Patricia",Sep 25 2024,Sep 24 2027,Order in Council
College of Medical Laboratory Technologists of Alberta - Council,Public Member,"Shah, Aman",Apr 30 2025,Apr 29 2028,Order in Council
College of Midwives of Alberta - Council,Public Member,"Bekevich-Joos, Melanie",Aug 10 2021,Aug 09 2024,Order in Council
College of Midwives of Alberta - Council,Public Member,"Cornfield, Catherine",May 09 2024,Apr 06 2027,Order in Council
College of Midwives of Alberta - Council,Public Member,"LaRochelle, Andrea",Apr 30 2025,Apr 29 2028,Order in Council
College of Midwives of Alberta - Council,Public Member,"Crocker, David Albert",Apr 20 2022,May 08 2023,Order in Council
College of Midwives of Alberta - Council,Public Member,"Parker, Shane",Apr 30 2025,Apr 29 2028,Order in Council
College of Naturopathic Doctors of Alberta - Council,Public Member,"Valle, Patrizia",May 09 2024,Jan 26 2027,Order in Council
College of Naturopathic Doctors of Alberta - Council,Public Member,"Graham, Earl",Mar 29 2023,Mar 28 2026,Order in Council
College of Naturopathic Doctors of Alberta - Council,Public Member,"Bohn, Larry",Feb 23 2022,Feb 22 2025,Order in Council
College of Naturopathic Doctors of Alberta - Council,Public Member,"Swanson, David",Jun 29 2022,Jun 28 2025,Order in Council
College of Opticians of Alberta,Public Member,"Bentley, Lana",Nov 26 2019,Nov 25 2022,Order in Council
College of Opticians of Alberta,Public Member,"Lee, Pamela",Apr 30 2025,Apr 29 2028,Order in Council
College of Opticians of Alberta,Public Member,"Ogbonna, Chin",May 12 2023,May 11 2026,Order in Council
College of Opticians of Alberta,Public Member,"Olatona, Olatunde",Jun 06 2024,Apr 06 2027,Order in Council
College of Opticians of Alberta,Public Member,"Kondics, Kayla",Apr 24 2024,Apr 23 2027,Order in Council
College of Opticians of Alberta,Public Member,"Vogelesang, Kirsty",Apr 30 2025,Apr 29 2028,Order in Council
College of Physicians and Surgeons of Alberta - Council,Public Member,"Etokudo, Patrick",Jun 23 2024,Jun 22 2027,Order in Council
College of Physicians and Surgeons of Alberta - Council,Public Member,"Day, Logan",Dec 04 2024,Dec 03 2027,Order in Council
College of Physicians and Surgeons of Alberta - Council,Public Member,"Merrifield, Robert",Jun 20 2024,Jun 19 2027,Order in Council
College of Physicians and Surgeons of Alberta - Council,Public Member,"Clark, Garnet",Jun 20 2024,Jun 19 2027,Order in Council
College of Physicians and Surgeons of Alberta - Council,Public Member,"Laboucan, Rhonda",Jun 20 2024,Jun 19 2027,Order in Council
College of Physicians and Surgeons of Alberta - Council,Public Member,"Zhang, Pan",Jun 20 2024,Jun 19 2027,Order in Council
College of Physicians and Surgeons of Alberta - Council,Public Member,"Steinbach, Laurie",Apr 20 2022,Jun 14 2024,Order in Council
College of Physiotherapists of Alberta,Public Member,"Horrigan, Dennis",Apr 20 2022,May 08 2023,Order in Council
College of Physiotherapists of Alberta,Public Member,"Evren, Lisa",Jun 01 2022,May 31 2025,Order in Council
College of Physiotherapists of Alberta,Public Member,"Sproule, Sharon",Dec 05 2017,Dec 04 2020,Order in Council
College of Physiotherapists of Alberta,Public Member,"Schaffer, Sean",Jun 15 2022,Jun 14 2025,Order in Council
College of Physiotherapists of Alberta,Public Member,"Bunce, Terry",Oct 09 2024,Oct 08 2027,Order in Council
College of Podiatric Physicians of Alberta - Council,Public Member,"Tokar, Jennifer",Jun 15 2022,Jun 14 2025,Order in Council
College of Podiatric Physicians of Alberta - Council,Public Member,"Orakwue, Prince",Mar 14 2023,Mar 13 2026,Order in Council
College of Podiatric Physicians of Alberta - Council,Public Member,"Norris, Catherine",Apr 30 2025,Apr 29 2028,Order in Council
College of Registered Nurses of Alberta,Public Member,"Ewasechko, Kim Arthur",Jul 16 2025,May 11 2027,Order in Council
College of Registered Nurses of Alberta,Public Member,"Sansregret, Bonnie",Sep 27 2022,Sep 26 2025,Order in Council
College of Registered Nurses of Alberta,Public Member,"Obiefuna, Peter",Apr 07 2023,Apr 06 2026,Order in Council
College of Registered Nurses of Alberta,Public Member,"Roskey, Susan",Jul 16 2025,Apr 06 2027,Order in Council
College of Registered Nurses of Alberta,Public Member,"Armstrong, Steven",Dec 05 2017,Dec 04 2020,Order in Council
College of Registered Nurses of Alberta,Public Member,"Olabiyi, Olayemi",Jul 16 2025,Jul 15 2028,Order in Council
College of Registered Nurses of Alberta,Public Member,"Garner, Scott Stevens",Jul 16 2025,Feb 22 2028,Order in Council
College of Registered Nurses of Alberta,Public Member,"Worthington, Liza",Jul 16 2025,Jul 15 2028,Order in Council
College of Registered Psychiatric Nurses of Alberta - Council,Public Member,"Oyedun, Adetoyese",May 12 2024,May 11 2027,Order in Council
College of Registered Psychiatric Nurses of Alberta - Council,Public Member,"Abdelhady, Hany Mahmoud",Apr 20 2022,Mar 20 2023,Order in Council
College of Registered Psychiatric Nurses of Alberta - Council,Public Member,"Zelmer, Joseph",Apr 20 2022,Mar 20 2023,Order in Council
College of Registered Psychiatric Nurses of Alberta - Council,Public Member,"Johnstone, Dianne",Jun 15 2022,Jun 14 2025,Order in Council
College of Registered Psychiatric Nurses of Alberta - Council,Public Member,"Kruchten, Bob",Jun 15 2022,Jun 14 2025,Order in Council
College of Respiratory Therapists of Alberta,Public Member,"Sweet, Katherine",Nov 07 2024,Nov 06 2027,Order in Council
College of Respiratory Therapists of Alberta,Public Member,"Singh, Raja Balraj",Apr 20 2022,Oct 02 2024,Order in Council
College of Respiratory Therapists of Alberta,Public Member,"Christopherson, Gary",Jun 15 2022,Jun 14 2025,Order in Council
College of Respiratory Therapists of Alberta,Public Member,"Poltz, Tiffany",Jun 15 2022,Jun 14 2025,Order in Council
Conseil consultatif de l'Alberta en matière de francophonie / Alberta Advisory Council on the Francophonie,Co-Chair,"Thériault, Sylvie",Apr 25 2025,Mar 31 2028,Ministerial Order
Conseil consultatif de l'Alberta en matière de francophonie / Alberta Advisory Council on the Francophonie,Co-Chair,"Poirier, Rhéal",Jan 01 2021,,Ministerial Order
Conseil consultatif de l'Alberta en matière de francophonie / Alberta Advisory Council on the Francophonie,Member,"Brosseau, Elisa",Apr 25 2025,Mar 31 2028,Ministerial Order
Conseil consultatif de l'Alberta en matière de francophonie / Alberta Advisory Council on the Francophonie,Member,"Bérubé, Camille",Feb 28 2024,Jan 25 2027,Ministerial Order
Conseil consultatif de l'Alberta en matière de francophonie / Alberta Advisory Council on the Francophonie,Member,"Doell, Lesley",Feb 28 2024,Jan 25 2027,Ministerial Order
Conseil consultatif de l'Alberta en matière de francophonie / Alberta Advisory Council on the Francophonie,Member,"Goa, Arnaud",May 12 2025,Apr 29 2028,Ministerial Order
Conseil consultatif de l'Alberta en matière de francophonie / Alberta Advisory Council on the Francophonie,Member,"Karwandy, Lori",Mar 31 2023,Mar 31 2026,Ministerial Order
Conseil consultatif de l'Alberta en matière de francophonie / Alberta Advisory Council on the Francophonie,Member,"Mosker, Andrew",Apr 30 2025,Apr 29 2028,Ministerial Order
Conseil consultatif de l'Alberta en matière de francophonie / Alberta Advisory Council on the Francophonie,Member,"Ngenzi, Esdras",Apr 25 2025,Mar 31 2028,Ministerial Order
Conseil consultatif de l'Alberta en matière de francophonie / Alberta Advisory Council on the Francophonie,Representative of ACFA,"Fallu, Justine",Apr 25 2025,Mar 31 2028,Ministerial Order
Conseil consultatif de l'Alberta en matière de francophonie / Alberta Advisory Council on the Francophonie,Representative of FCSFA,"Poulin, Geneviève",Feb 28 2024,Feb 25 2027,Ministerial Order
Credit Counselling Services of Alberta (operating as Money Mentors),Member,"Irogue, Joyce",Dec 13 2024,Dec 12 2027,Ministerial Order
Credit Union Deposit Guarantee Corporation,Director,"Kohli, Harpreet",Sep 25 2024,Sep 24 2027,Order in Council
Credit Union Deposit Guarantee Corporation,Chair,"Morris, Kenneth",Nov 07 2024,Nov 06 2027,Ministerial Order
Credit Union Deposit Guarantee Corporation,Director,"Beloin, Laurene",Sep 25 2024,Sep 24 2026,Order in Council
Credit Union Deposit Guarantee Corporation,Director,"Clark, Harrison",Jun 24 2025,Jun 24 2028,Order in Council
Credit Union Deposit Guarantee Corporation,Director,"Virk, Rita",Jun 24 2025,Jun 24 2028,Order in Council
Credit Union Deposit Guarantee Corporation,Director (Alberta Central),"Lamb, John",Jun 24 2025,Jun 24 2028,Order in Council
Credit Union Deposit Guarantee Corporation,Director (Alberta Central) & Vice-Chair,"Bérubé, Camille",Sep 25 2024,Sep 24 2027,Ministerial Order
Criminal Code Review Board,Chair & Member,"Hawranik, Gerald",Jan 31 2023,Jan 31 2026,Order in Council
Criminal Code Review Board,Member,"Chichak, Maryann",Oct 25 2024,Oct 24 2027,Order in Council
Criminal Code Review Board,Legal Member,"Chipeur, Gerry",Jan 21 2023,Jan 20 2026,Order in Council
Criminal Code Review Board,Member,"Forsyth, Heather",Jan 21 2023,Jan 20 2026,Order in Council
Criminal Code Review Board,Member,"Louhela, Lori",Apr 29 2023,Apr 28 2026,Order in Council
Criminal Code Review Board,Legal Member,"Marr, Todd",Jun 06 2023,Jun 05 2026,Order in Council
Criminal Code Review Board,Member,"LeBlanc, Guy",Mar 29 2023,Mar 28 2026,Order in Council
Criminal Code Review Board,Legal Member,"Lee, Lora",Mar 29 2023,Mar 28 2026,Order in Council
Criminal Code Review Board,Member,"Young, Steven",Mar 29 2023,Mar 28 2026,Order in Council
Criminal Code Review Board,Legal Member,"Katrib, Rame Z.",Mar 19 2025,Mar 18 2028,Order in Council
Criminal Code Review Board,Psychiatrist member,"Tanguay, Robert",Nov 22 2023,Nov 21 2026,Order in Council
Criminal Code Review Board,Legal Member,"Ko, Patty",May 25 2025,May 24 2028,Order in Council
Criminal Code Review Board,Psychiatrist Member,"Mohamed, Zahra",May 09 2024,May 08 2027,Order in Council
Criminal Code Review Board,Psychiatrist Member,"Rourke, Margaret",Jan 20 2024,Jan 19 2027,Order in Council
Criminal Code Review Board,Psychiatrist Member,"Stovel, Laura",Jun 09 2025,Jun 08 2028,Order in Council
Criminal Code Review Board,Psychiatrist Member,"Kravtsenyuk, Maryana",Mar 19 2025,Mar 18 2028,Order in Council
Debtors` Assistance Board,Member,"Irogue, Joyce",Dec 13 2024,Dec 12 2027,Ministerial Order
Dillon River Wildland Provincial Park Cooperative Management Board,Co-Chair & Member,"Parks Regional Director, Environment & Parks",Mar 12 2019,,Ministerial Order
Dillon River Wildland Provincial Park Cooperative Management Board,Member,"Parks Area Manager, Environment & Parks",Mar 12 2019,,Ministerial Order
Dillon River Wildland Provincial Park Cooperative Management Board,Member,"Parks Land & Resource Manager, Environment & Parks",Mar 12 2019,,Ministerial Order
Drainage Council,GOA Member,"Soehn, Carlin",Mar 09 2023,,Ministerial Order
Drainage Council,Chair Designate,"Majek, Stephen",Jun 14 2023,Jun 13 2026,Ministerial Order
Drainage Council,Representative Member,"Fenske, Blaine",Apr 14 2025,Mar 31 2028,Ministerial Order
Drainage Council,Member,"Reist, John",Jun 14 2023,Jun 13 2026,Ministerial Order
Edmonton Police Commission,Public Member,"Nagendran, Jayan",Apr 24 2023,Apr 23 2026,Ministerial Order
Edmonton Police Commission,Public Member,"Lee, Michael",Apr 24 2023,Apr 23 2026,Ministerial Order
Edmonton Police Commission,Public Member,"Lambert, Anne-Marie",Jan 15 2025,Jan 14 2028,Ministerial Order
Edmonton Police Commission,Public Member,"Saunders, Mike",Jan 15 2025,Jan 14 2028,Ministerial Order
Edmonton Police Commission,Public Member,"Jacobs-Mino, Jessica",Jan 15 2025,Jan 14 2028,Ministerial Order
Electrical Contractors Association of Alberta - Board of Directors,Public Member,"Rockwood, Susan",Nov 21 2017,Nov 20 2019,Ministerial Order
Electrical Contractors Association of Alberta - Board of Directors,Public Member,"Laing, Paula",Dec 18 2024,Dec 17 2026,Ministerial Order
Endangered Species Conservation Committee,Chair & MLA Member,"Loewen, Todd",Jan 22 2020,,Ministerial Order
Endangered Species Conservation Committee,"GOA Member, Ex-Officio","Executive Director, Fish & Wildlife Policy Branch, Alberta Environment & Parks",Jan 22 2020,,Ministerial Order
Endangered Species Conservation Committee,"GOA Member, Ex-Officio","Representative, Alberta Agriculture and Forestry",Jan 22 2020,,Ministerial Order
Endangered Species Conservation Committee,"GOA Member, Ex-Officio","Representative, Alberta Energy",Jan 22 2020,,Ministerial Order
Environmental Appeals Board,Chair & Member,"Johnston, Barbara",Feb 25 2024,Feb 24 2027,Order in Council
Environmental Appeals Board,Member,"Powter, Chris",Nov 27 2024,Nov 26 2027,Order in Council
Environmental Appeals Board,Member,"Armstrong, James",Mar 29 2023,Mar 28 2026,Order in Council
Environmental Appeals Board,Member,"Deibert, Lee",Jun 06 2024,Jun 05 2027,Order in Council
Environmental Appeals Board,Member,"Lacasse, Line",Nov 27 2024,Nov 26 2027,Order in Council
Environmental Appeals Board,Member,"McLauchlin, Paul",Nov 22 2023,Nov 21 2025,Order in Council
Environmental Appeals Board,Member,"Rippin Armstrong, Allison",Nov 22 2023,Nov 21 2025,Order in Council
Environmental Appeals Board,Member,"Quarshie, Elizabeth",Nov 22 2023,Nov 21 2025,Order in Council
Environmental Appeals Board,Member,"Fawcett, Kyle",Jun 06 2024,Jun 05 2027,Order in Council
Environmental Appeals Board,Member,"Averill, Kurtis",Feb 25 2024,Feb 24 2026,Order in Council
Environmental Appeals Board,Member,"Riddell, Jo-Ann",Jun 06 2024,Jun 05 2027,Order in Council
Environmental Appeals Board,Member,"Aalbers, Angela",Jun 22 2024,Jun 21 2027,Order in Council
Expert Committee on Drug Evaluation and Therapeutics,Chair & Member,"Gray, Margaret",Sep 21 2023,Sep 30 2025,Ministerial Order
Expert Committee on Drug Evaluation and Therapeutics,Physician Member,"Ling, Ling",Apr 14 2025,Apr 13 2028,Ministerial Order
Expert Committee on Drug Evaluation and Therapeutics,Physician Member,"Mehta, Rahul",Apr 14 2025,Apr 13 2028,Ministerial Order
Expert Committee on Drug Evaluation and Therapeutics,Member,"Clarke, Caitlin",Sep 20 2023,Feb 03 2026,Ministerial Order
Expert Committee on Drug Evaluation and Therapeutics,Member,"Bharadia, Morgan",Apr 14 2025,Apr 13 2028,Ministerial Order
Expert Committee on Drug Evaluation and Therapeutics,Member,"Behl, Monica",Apr 14 2025,Apr 13 2028,Ministerial Order
Expert Committee on Drug Evaluation and Therapeutics,Member,"Ezugwu, Augustine",Apr 14 2025,Apr 13 2028,Ministerial Order
Family Support for Children with Disabilities Provincial Parent Advisory Committee,Member,"Gan, Caroline",Mar 24 2025,Mar 31 2028,Ministerial Order
Family Support for Children with Disabilities Provincial Parent Advisory Committee,Member,"Nielsen, Jessica",Mar 24 2025,Mar 31 2028,Ministerial Order
